datetime,ip,position,temperature-probe,temperature-usb,color
2025-05-21-10-54,10.9.1.71,157-002-004,2.68C,9.06C,cyan
2025-05-21-10-55,10.9.1.64,157-001-001,2.00C,5.18C,cyan
2025-05-21-10-55,10.9.1.65,157-001-002,1.87C,6.12C,cyan
2025-05-21-10-55,10.9.1.66,157-001-003,2.00C,5.43C,cyan
2025-05-21-10-55,10.9.1.67,157-001-004,2.87C,7.37C,cyan
2025-05-21-10-55,10.9.1.68,157-002-001,2.87C,6.62C,cyan
2025-05-21-10-55,10.9.1.70,157-002-003,2.31C,5.87C,cyan
2025-05-21-10-55,10.9.1.71,157-002-004,2.50C,8.62C,cyan
2025-05-21-10-56,10.9.1.64,157-001-001,2.06C,4.87C,cyan
2025-05-21-10-56,10.9.1.65,157-001-002,2.12C,5.87C,cyan
2025-05-21-10-56,10.9.1.66,157-001-003,2.12C,5.06C,cyan
2025-05-21-10-56,10.9.1.67,157-001-004,2.87C,7.06C,cyan
2025-05-21-10-56,10.9.1.68,157-002-001,2.75C,6.37C,cyan
2025-05-21-10-56,10.9.1.70,157-002-003,2.50C,5.56C,cyan
2025-05-21-10-56,10.9.1.71,157-002-004,2.62C,8.31C,cyan
2025-05-21-10-57,10.9.1.64,157-001-001,2.18C,4.62C,cyan
2025-05-21-10-57,10.9.1.65,157-001-002,2.25C,5.50C,cyan
2025-05-21-10-57,10.9.1.66,157-001-003,2.25C,4.93C,cyan
2025-05-21-10-57,10.9.1.67,157-001-004,3.00C,6.81C,cyan
2025-05-21-10-57,10.9.1.68,157-002-001,2.81C,6.12C,cyan
2025-05-21-10-57,10.9.1.70,157-002-003,2.62C,5.25C,cyan
2025-05-21-10-57,10.9.1.71,157-002-004,2.75C,8.00C,cyan
2025-05-21-10-58,10.9.1.64,157-001-001,2.31C,4.43C,cyan
2025-05-21-10-58,10.9.1.65,157-001-002,2.43C,5.50C,cyan
2025-05-21-10-58,10.9.1.66,157-001-003,2.37C,4.87C,cyan
2025-05-21-10-58,10.9.1.67,157-001-004,3.12C,6.81C,cyan
2025-05-21-10-58,10.9.1.68,157-002-001,2.81C,5.87C,cyan
2025-05-21-10-58,10.9.1.70,157-002-003,2.68C,5.25C,cyan
2025-05-21-10-58,10.9.1.71,157-002-004,2.75C,7.87C,cyan
2025-05-21-10-59,10.9.1.64,157-001-001,2.43C,4.43C,cyan
2025-05-21-10-59,10.9.1.65,157-001-002,2.56C,5.43C,cyan
2025-05-21-10-59,10.9.1.66,157-001-003,2.50C,4.81C,cyan
2025-05-21-10-59,10.9.1.67,157-001-004,3.12C,6.56C,cyan
2025-05-21-10-59,10.9.1.68,157-002-001,2.93C,5.87C,cyan
2025-05-21-10-59,10.9.1.70,157-002-003,2.87C,5.25C,cyan
2025-05-21-10-59,10.9.1.71,157-002-004,2.87C,7.75C,cyan
2025-05-21-11-00,10.9.1.64,157-001-001,2.50C,4.37C,cyan
2025-05-21-11-00,10.9.1.65,157-001-002,2.81C,5.37C,cyan
2025-05-21-11-00,10.9.1.66,157-001-003,2.68C,4.81C,cyan
2025-05-21-11-00,10.9.1.67,157-001-004,3.31C,6.50C,cyan
2025-05-21-11-00,10.9.1.68,157-002-001,2.87C,5.87C,cyan
2025-05-21-11-00,10.9.1.70,157-002-003,2.87C,5.25C,cyan
2025-05-21-11-00,10.9.1.71,157-002-004,3.00C,7.62C,cyan
2025-05-21-11-01,10.9.1.64,157-001-001,2.81C,4.37C,cyan
2025-05-21-11-01,10.9.1.65,157-001-002,3.00C,5.37C,cyan
2025-05-21-11-01,10.9.1.66,157-001-003,2.87C,4.87C,cyan
2025-05-21-11-01,10.9.1.67,157-001-004,3.43C,6.50C,cyan
2025-05-21-11-01,10.9.1.68,157-002-001,3.06C,5.81C,cyan
2025-05-21-11-01,10.9.1.70,157-002-003,3.12C,5.25C,cyan
2025-05-21-11-01,10.9.1.71,157-002-004,3.18C,7.50C,cyan
2025-05-21-11-02,10.9.1.64,157-001-001,2.87C,4.43C,cyan
2025-05-21-11-02,10.9.1.65,157-001-002,3.31C,5.37C,cyan
2025-05-21-11-02,10.9.1.66,157-001-003,3.12C,5.06C,cyan
2025-05-21-11-02,10.9.1.67,157-001-004,3.68C,6.56C,cyan
2025-05-21-11-02,10.9.1.68,157-002-001,3.31C,5.87C,cyan
2025-05-21-11-02,10.9.1.70,157-002-003,3.37C,5.25C,cyan
2025-05-21-11-02,10.9.1.71,157-002-004,3.31C,7.50C,cyan
2025-05-21-11-03,10.9.1.64,157-001-001,3.06C,4.43C,cyan
2025-05-21-11-03,10.9.1.65,157-001-002,3.37C,5.50C,cyan
2025-05-21-11-03,10.9.1.66,157-001-003,3.25C,5.12C,cyan
2025-05-21-11-03,10.9.1.67,157-001-004,3.81C,6.62C,cyan
2025-05-21-11-03,10.9.1.68,157-002-001,3.37C,5.87C,cyan
2025-05-21-11-03,10.9.1.70,157-002-003,3.56C,5.25C,cyan
2025-05-21-11-03,10.9.1.71,157-002-004,3.43C,7.43C,cyan
2025-05-21-11-04,10.9.1.64,157-001-001,3.12C,4.43C,cyan
2025-05-21-11-04,10.9.1.65,157-001-002,3.37C,5.50C,cyan
